Rating,Surname,Name,Country,Weight,Sex
407,Wood , Leigh ,GB,126,Male
408,Yaqubov, Muhammadkhuja,TJ,130,Male
409,Zaurbek, Sultan,KZ,130,Male
410,Zavala , Christopher,US,130,Male
411,Bursak, Maksym,UA,168,Male
412,Lino, Joel,PH,105,Male
413,Andales, ArAr,PH,105,Male
414,Leo, Angelo,US,122,Male
415,Diaz, Christopher,PR,126,Male
416,Guzman, Jonathan,DO,122,Male
417,Alvarez, Elieder,CO,175,Male
418,Love, Montana,US,140,Male
420,Doheny, T.J.,AU,122,Male
421,Murdock, Rohan,AU,168,Male
422,Urvanov, Mark,RU,130,Male
423,Sigqibo, Yanga,ZA,115,Male
424,Malindi, Ronald,ZA,118,Male
425,Loreto, Rey,PH,105,Male
426,Uzcategui, Jose,VE,168,Male
427,Thompson, Lionell,US,168,Male
428,Jack, Badou,SE,200,Male
429,Henrik, Artur,DE,168,Male
430,Dogboe, Isaac,GB,126,Male
431,Ruenroeng, Amnat,TH,115,Male
432,Gill, Jordan,GB,126,Male
433,Smith, Dalton,GB,140,Male
434,Espinoza, Ricardo,MX,122,Male
435,Ragan, Duke,US,126,Male
436,Nelson, Steven,US,168,Male
437,Ziani, Samir,FR,130,Male
438,Breedy, Cobia,BB,126,Male
439,Gonzalez, Israel,MX,118,Male
440,Buitrago, Carlos,NI,108,Male
441,Papeschi, Sebastian,AR,160,Male
442,Catterall, Jack ,GB,140,Male
443,Gonzalez, Yunieski,CU,175,Male
444,McKenna, Stephen,IE,140,Male
445,Rosa, Erick,DO,105,Male
446,Baez, Eduardo,MX,122,Male
447,Lemos, Gustavo,AR,140,Male
448,Lerena, Kevin,ZA,200,Male
449,Gaballo, Reymart,PH,118,Male
450,Nunez, Luis,DO,126,Male
451,Puello, Alberto,DO,140,Male
452,Kriel, Deejay,ZA,108,Male
453,Oberlton, Atif,US,175,Male
454,Barthelemy, Rances,CU,140,Male
455,Martinez, Kiko,ES,126,Male
456,Lara, Mauricio,MX,126,Male
457,Diaz, Floyd,US,118,Male
458,Isley, Troy,US,160,Male
459,Nyika, David,NZ,200,Male
460,Kunkabayev, Kamshybek,KZ,200,Male
461,Arroyo, McWilliams,PR,112,Male
462,Chevalier, Bryan,PR,126,Male
463,Martinez, Jose,PR,118,Male
464,Silyagin, Pavel,RU,168,Male
466,Cornejo, Maricela,US,160,Female
467,Gonzalez, Cristian,MX,112,Male
468,Valverde, Estrella,MX,118,Female
469,Zrazhevskaya, Tatyana,RU,118,Female
470,Nietes, Donnie,PH,115,Male
471,Espinoza, Alexander,NI,118,Male
472,Courtenay, Shannon,GB,122,Female
