Users;Name of Satellite, Alternate Names;Country of Operator/Owner
Commercial;Starlink-1121;USA
Commercial;Starlink-1122;USA
Commercial;Starlink-1123;USA
Commercial;Starlink-1124;USA
Commercial;Starlink-1125;USA
Commercial;Starlink-1126;USA
Commercial;Starlink-1127;USA
Commercial;Starlink-1128;USA
Commercial;Starlink-1129;USA
Commercial;Starlink-1130 (Darksat);USA
Commercial;Starlink-1131;USA
Commercial;Starlink-1132 ;USA
Commercial;Starlink-1133;USA
Commercial;Starlink-1134;USA
Commercial;Starlink-1135;USA
Commercial;Starlink-1136;USA
Commercial;Starlink-1137;USA
Commercial;Starlink-1138;USA
Commercial;Starlink-1139;USA
Commercial;Starlink-1140;USA
Commercial;Starlink-1141;USA
Commercial;Starlink-1142;USA
Commercial;Starlink-1143;USA
Commercial;Starlink-1144;USA
Commercial;Starlink-1145;USA
Commercial;Starlink-1146;USA
Commercial;Starlink-1147;USA
Commercial;Starlink-1148;USA
Commercial;Starlink-1149;USA
Commercial;Starlink-1150;USA
Commercial;Starlink-1151;USA
Commercial;Starlink-1152;USA
Commercial;Starlink-1153;USA
Commercial;Starlink-1154;USA
Commercial;Starlink-1155;USA
Commercial;Starlink-1156;USA
Commercial;Starlink-1157;USA
Commercial;Starlink-1158;USA
Commercial;Starlink-1159;USA
Commercial;Starlink-1160;USA
Commercial;Starlink-1161;USA
Commercial;Starlink-1162;USA
Commercial;Starlink-1163;USA
Commercial;Starlink-1164;USA
Commercial;Starlink-1165;USA
Commercial;Starlink-1166;USA
Commercial;Starlink-1167;USA
Commercial;Starlink-1168;USA
Commercial;Starlink-1169;USA
Commercial;Starlink-1170;USA
Commercial;Starlink-1171;USA
Commercial;Starlink-1172;USA
Commercial;Starlink-1173;USA
Commercial;Starlink-1174;USA
Commercial;Starlink-1175;USA
Commercial;Starlink-1176;USA
Commercial;Starlink-1177;USA
Commercial;Starlink-1178;USA
Commercial;Starlink-1179;USA
Commercial;Starlink-1180;USA
Commercial;Starlink-1181;USA
Commercial;Starlink-1182;USA
Commercial;Starlink-1183;USA
Commercial;Starlink-1184;USA
Commercial;Starlink-1185;USA
Commercial;Starlink-1186;USA
Commercial;Starlink-1187;USA
Commercial;Starlink-1188;USA
Commercial;Starlink-1189;USA
Commercial;Starlink-1190;USA
Commercial;Starlink-1191;USA
Commercial;Starlink-1192;USA
Commercial;Starlink-1193;USA
Commercial;Starlink-1194;USA
Commercial;Starlink-1195;USA
Commercial;Starlink-1196;USA
Commercial;Starlink-1197;USA
Commercial;Starlink-1198;USA
Commercial;Starlink-1199;USA
Commercial;Starlink-1200;USA
Commercial;Starlink-1201;USA
Commercial;Starlink-1202;USA
Commercial;Starlink-1203;USA
Commercial;Starlink-1204;USA
Commercial;Starlink-1205;USA
Commercial;Starlink-1206;USA
Commercial;Starlink-1207;USA
Commercial;Starlink-1208;USA
Commercial;Starlink-1209;USA
Commercial;Starlink-1210;USA
Commercial;Starlink-1211;USA
Commercial;Starlink-1212;USA
Commercial;Starlink-1213;USA
Commercial;Starlink-1214;USA
Commercial;Starlink-1215;USA
Commercial;Starlink-1216;USA
Commercial;Starlink-1217;USA
Commercial;Starlink-1218;USA
Commercial;Starlink-1219;USA
Commercial;Starlink-1220;USA
Commercial;Starlink-1221;USA
Commercial;Starlink-1222;USA
Commercial;Starlink-1224;USA
Commercial;Starlink-1225;USA
Commercial;Starlink-1226;USA
Commercial;Starlink-1227;USA
Commercial;Starlink-1228;USA
Commercial;Starlink-1229;USA
Commercial;Starlink-1230;USA
Commercial;Starlink-1231;USA
Commercial;Starlink-1232;USA
Commercial;Starlink-1233;USA
Commercial;Starlink-1234;USA
Commercial;Starlink-1235;USA
Commercial;Starlink-1236;USA
Commercial;Starlink-1237;USA
Commercial;Starlink-1238;USA
Commercial;Starlink-1239;USA
Commercial;Starlink-1241;USA
Commercial;Starlink-1243;USA
Commercial;Starlink-1244;USA
Commercial;Starlink-1245;USA
Commercial;Starlink-1246;USA
Commercial;Starlink-1247;USA
Commercial;Starlink-1254;USA
Commercial;Starlink-1255;USA
Commercial;Starlink-1256;USA
Commercial;Starlink-1257;USA
Commercial;Starlink-1258;USA
Commercial;Starlink-1259;USA
Commercial;Starlink-1260;USA
Commercial;Starlink-1262;USA
Commercial;Starlink-1263;USA
Commercial;Starlink-1264;USA
Commercial;Starlink-1265;USA
Commercial;Starlink-1266;USA
Commercial;Starlink-1267;USA
Commercial;Starlink-1268;USA
Commercial;Starlink-1269;USA
Commercial;Starlink-1270;USA
Commercial;Starlink-1271;USA
Commercial;Starlink-1272;USA
Commercial;Starlink-1273;USA
Commercial;Starlink-1274;USA
Commercial;Starlink-1275;USA
Commercial;Starlink-1276;USA
Commercial;Starlink-1277;USA
Commercial;Starlink-1278;USA
Commercial;Starlink-1279;USA
Commercial;Starlink-1280;USA
Commercial;Starlink-1281;USA
Commercial;Starlink-1282;USA
Commercial;Starlink-1283;USA
Commercial;Starlink-1284;USA
Commercial;Starlink-1285;USA
Commercial;Starlink-1286;USA
Commercial;Starlink-1287;USA
Commercial;Starlink-1288;USA
Commercial;Starlink-1289;USA
Commercial;Starlink-1290;USA
Commercial;Starlink-1291;USA
Commercial;Starlink-1292;USA
Commercial;Starlink-1293;USA
Commercial;Starlink-1295;USA
Commercial;Starlink-1296;USA
Commercial;Starlink-1297;USA
Commercial;Starlink-1298;USA
Commercial;Starlink-1299;USA
Commercial;Starlink-1300;USA
Commercial;Starlink-1301;USA
Commercial;Starlink-1302;USA
Commercial;Starlink-1303;USA
Commercial;Starlink-1304;USA
Commercial;Starlink-1305;USA
Commercial;Starlink-1306;USA
Commercial;Starlink-1307;USA
Commercial;Starlink-1308;USA
Commercial;Starlink-1309;USA
Commercial;Starlink-1310;USA
Commercial;Starlink-1311;USA
Commercial;Starlink-1312;USA
Commercial;Starlink-1313;USA
Commercial;Starlink-1316;USA
Commercial;Starlink-1317;USA
Commercial;Starlink-1318;USA
Commercial;Starlink-1319;USA
Commercial;Starlink-21 ;USA
Commercial;Starlink-22 ;USA
Commercial;Starlink-23 ;USA
Commercial;Starlink-24 ;USA
Commercial;Starlink-25 ;USA
Commercial;Starlink-26 ;USA
Commercial;Starlink-27 ;USA
Commercial;Starlink-28 ;USA
Commercial;Starlink-29 ;USA
Commercial;Starlink-30 ;USA
Commercial;Starlink-31;USA
Commercial;Starlink-32 ;USA
Commercial;Starlink-33 ;USA
Commercial;Starlink-34 ;USA
Commercial;Starlink-35 ;USA
Commercial;Starlink-36 ;USA
Commercial;Starlink-37 ;USA
Commercial;Starlink-38 ;USA
Commercial;Starlink-39 ;USA
Commercial;Starlink-40 ;USA
Commercial;Starlink-41 ;USA
Commercial;Starlink-42 ;USA
Commercial;Starlink-43 ;USA
Commercial;Starlink-44 ;USA
Commercial;Starlink-45;USA
Commercial;Starlink-48 ;USA
Commercial;Starlink-49 ;USA
Commercial;Starlink-50 ;USA
Commercial;Starlink-51 ;USA
Commercial;Starlink-53 ;USA
Commercial;Starlink-54 ;USA
Commercial;Starlink-55 ;USA
Commercial;Starlink-56 ;USA
Commercial;Starlink-57 ;USA
Commercial;Starlink-58 ;USA
Commercial;Starlink-59 ;USA
Commercial;Starlink-61;USA
Commercial;Starlink-62 ;USA
Commercial;Starlink-63 ;USA
Commercial;Starlink-64 ;USA
Commercial;Starlink-65 ;USA
Commercial;Starlink-66 ;USA
Commercial;Starlink-67 ;USA
Commercial;Starlink-68 ;USA
Commercial;Starlink-69 ;USA
Commercial;Starlink-70 ;USA
Commercial;Starlink-71 ;USA
Commercial;Starlink-72 ;USA
Commercial;Starlink-73 ;USA
Commercial;Starlink-74 ;USA
Commercial;Starlink-75;USA
Commercial;Starlink-76 ;USA
Commercial;Starlink-77 ;USA
Commercial;Starlink-78 ;USA
Commercial;Starlink-79 ;USA
Commercial;Starlink-81 ;USA
Commercial;Starlnk-1090;USA
Civil;Step Cube Lab (Space Technology Experimental Project CubeSat Laboratory);South Korea
Civil;STF-1 (Simulation-to-Flight-1);USA
Military;STPSat-3 (Space Test Program Satellite-3) ;USA
Military;STPSat-4 (Space Test Program Satellite-4);USA
Military;STPSat-5 (Space Test Program Satellite-5);USA
Commercial;STRaND-1 (Surrey Training, Research and Nanosatellite Demonstrator 1);United Kingdom
Military;Strela 3 (Cosmos 2385);Russia
Military;Strela 3 (Cosmos 2386);Russia
Military;Strela 3 (Cosmos 2390);Russia
Military;Strela 3 (Cosmos 2391);Russia
Military;Strela 3 (Cosmos 2400);Russia
Military;Strela 3 (Cosmos 2401);Russia
Military;Strela 3 (Cosmos 2408);Russia
Military;Strela 3 (Cosmos 2409);Russia
Government;STSat-2C;South Korea
Military;STSS ATRR (Space Tracking and Surveillance System Advanced Technology Risk Reduction Satellite, USA 205);USA
Military;STSS Demo-1 (Space Tracking and Surveillance System Demonstrator);USA
Military;STSS Demo-2 (Space Tracking and Surveillance System Demonstrator);USA
Civil;Suomi-100;Finland
Commercial;Superbird 7 (Superbird C2);Japan
Commercial/Military;Superbird 8/DSN-1 (Kirameki 1);Japan
Commercial;Superview 1-01 (GaoJing 1-01);China
Commercial;Superview 1-02 (GaoJing 1-02);China
Commercial;Superview 1-03 (GaoJing 1-03);China
Commercial;Superview 1-04  (GaoJing 1-04);China
Civil;Swampsat-2;USA
Government;SWARM-A;ESA
Government;SWARM-B;ESA
Government;SWARM-C;ESA
Civil;Swayam;India
Commercial;Swiatowid;Poland
Government/Civil;Swift ;USA/United Kingdom/Italy
Civil;SwissCube;Switzerland
Military;Syracuse 3A (Systeme de Radio Communications Utilisant un Satellite);France
Military;Syracuse 3B (Systeme de Radio Communications Utilisant un Satellite);France
Military;TacSat 4;USA
Military;TacSat 6;USA
Government;TanDEM-X (TerraSAR-X add-on for Digital Elevation Measurement);Germany
Commercial;Tangguo Guan (Candy Can);China
Government;Tango (part of Cluster quartet, Cluster 2 FM8);ESA
Government;TanSat (Tan Weixing, Carbon Satellite);China
Civil;Tanyusha No. 3 (Radioskaf 8);Russia
Civil;Tanyusha No. 4 (Radioskaf 9);Russia
Military;TDO;USA
Government;TDRS-10 (Tracking and Data Relay Satellite, TDRS-J);USA
Government;TDRS-11 (Tracking and Data Relay Satellite, TDRS K);USA
Government;TDRS-12 (Tracking and Data Relay Satellite, TDRS L);USA
Government;TDRS-13 (Tracking and Data Relay Satellite, TDRS M);USA
Government;TDRS-3 (Tracking and Data Relay Satellite, TDRS-C) ;USA
Government/Commercial;TDRS-5 (Tracking and Data Relay Satellite, TDRS-E);USA
Government/Commercial;TDRS-6 (Tracking and Data Relay Satellite, TDRS-F);USA
Government;TDRS-7 (Tracking and Data Relay Satellite, TDRS-G);USA
Government;TDRS-8 (Tracking and Data Relay Satellite, TDRS-H);USA
Government;TDRS-9 (Tracking and Data Relay Satellite, TDRS-I);USA
Civil;Technosat;Germany
Military;TecSAR (Ofeq 8, Polaris);Israel
Commercial;TeLEOS 1;Singapore
Commercial;Telkom 2;Indonesia
Commercial;Telkom 3S;Indonesia
Commercial;Telstar 11N;Canada
Commercial;Telstar 12 (Orion 2);Multinational
Commercial;Telstar 12V (Telstar 12 Vantage);Canada
Commercial;Telstar 14R (Estrela do Sul 2);Canada
Commercial;Telstar 18 VANTAGE (Apstar 5C);Canada
Commercial;Telstar 19 Vantage;Canada
Civil;TEMPEST-D;USA
Civil;Ten-Koh;Japan
Government/Commercial;TerraSAR-X 1 (Terra Synthetic Aperture Radar X-Band);Germany
Commercial;TerraStar 1;USA
Government;TESS (Transiting Exoplanet Survey Satellite);USA
Commercial;TET-1 (Technologieerprobungsträger 1, Technology Experiment Carrier);Germany
Commercial;Thaicom-4 (Ipstar 1, Measat 5);Thailand
Commercial;Thaicom-6;Thailand
Commercial;Thaicom-8;Thailand
Commercial;THEA ;USA
Government/Civil;THEMIS A (Time History of Events and Macroscale Interactions during Substorms) ;Multinational
Government/Civil;THEMIS D (Time History of Events and Macroscale Interactions during Substorms) ;Multinational
Government/Civil;THEMIS E (Time History of Events and Macroscale Interactions during Substorms) ;Multinational
Government;THEOS (Thailand Earth Observation System);Thailand
Commercial;Thor-5 (Thor 2R);Norway
Commercial;Thor-6;Norway
Commercial;Thor-7;Norway
Commercial;Thuraya 2 ;United Arab Emirates
Commercial;Thuraya 3;United Arab Emirates
Government;Tianhui 1-01;China
Government;Tianhui 1-02;China
Government;Tianhui 1-03;China
Government;Tianhui 2-01;China
Government;Tianhui 2-02;China
Government;Tiankun-1;China
Government;TianLian 1 (TL-1-01, CTDRS);China
Government;TianLian 2 (TL-1-02, CTDRS);China
Government;TianLian 2-01 (TL-2-01, CTDRS);China
Government;TianLian 3 (TL-1-03, CTDRS);China
Government;TianLian 4 (TL-1-04, CTDRS);China
Commercial;Tianqi-1;China
Commercial;Tianqi-2;China
Commercial;Tianqi-3 ;China
Commercial;Tianqi-4A;China
Commercial;Tianqi-4B;China
Commercial;Tianqi-5;China
Civil;Tianqin-1 ;China
Government;Tiantong-1-01;China
Government;Tiantuo-2;China
Government;Tiantuo-3 (Luliang 1);China
Civil;Tianwang 1A (TW-1A, SECM-1, Shangkeda-2);China
Civil;"Tianwang 1C (TW-1C; NJFA-1)";China
Commercial;Tianxiang-1;China
Commercial;Tianxiang-2;China
Commercial;TianYi-1 (Xiaoxiang-1) ;China
Commercial;TianYi-15 (Xiaoxiang 1-08, Dianfeng);China/France
Commercial;TianYi-16;China
Commercial;TianYi-17;China
Commercial;TianYi-2 (Xiaoxiang 2);China
Commercial;TianYi-6 (Quantutong 1);China
Government;Tianzhi-1;China
Military/Commercial;TIBA-1;Egypt
Civil;TIGRISat;Iraq
Government/Civil;TIMED (Thermosphere • Ionosphere • Mesosphere • Energetics and Dynamics);USA
Government;TJS-1 (Tongxin Jishu Shiyan 1);China
Government;TJS-2 (Tongxin Jishu Shiyan 2);China
Government;TJS-3 (Tongxin Jishu Shiyan 3);China
Government;TJS-3 Subsatellite;China
Government;TJS-4 (Tongxin Jishu Shiyan 4);China
Government;TJS-5 (Tongxin Jishu Shiyan 5);China
Government;TKSat-1 (Túpac Katari Satellite 1);Bolivia
Commercial;TRSI-Sat;Germany
Military;Trumpet 3 (NROL-4, National Reconnaissance Office Launch-4, USA 136);USA
Military;Tselina-2 (Cosmos 2428);Russia
Civil;TSUBAME;Japan
Civil;TUGSat-1  (Technische Universität Graz Satellit, CanX-3b, BRITE-Austria);Austria
Government/Commercial;Turkmen Alem 52E/MonacoSAT;Turkmenistan/Monaco
Commercial;Turksat 3A;Turkey
Commercial;Turksat 4A;Turkey
Commercial;Turksat 4B;Turkey
Commercial;Tyvak 0092 (Commtrail, NANOVA);Israel
Commercial;Tyvak 0129 ;Israel
Commercial;Tyvak-53b;USA
Commercial;Tyvak-61c;USA
Military;"UFO-10 (USA 146, UHF F/O F10) ""UHF Follow-On""";USA
Military;"UFO-11  (USA 174) ""UHF Follow-On""";USA
Military;"UFO-2 (USA 95) ""UHF Follow-On""";USA
Military;"UFO-4 (USA 108, UFO F4 EHF) ""UHF Follow-On""";USA
Military;"UFO-8 (USA 138, UHF F/O F8) ""UHF Follow-On""";USA
Civil;Uguisu;Japan
Civil;UiTMSAT-1 (Birds-2);Malaysia
Government;UK-DMC-2 (BNSCSat-2, British National Science Center Satellite 2);United Kingdom
Government;UKube-1 (UK Cubesat 1);United Kingdom
Civil;UNIFORM 1  (UNiversity International FORmation Mission 1);Japan
Civil;UNITE (Undergraduate Nano Ionospheric Temperature Explorer);USA
Civil;Ursa Maior ((University of Rome la SApienza MicroAttitude In ORbit testing, QB50 IT02);Italy
Civil;UWE-3 (University of Würzburg Experimental Satellite 3);Germany
Civil;UWE-4 (University of Würzburg Experimental Satellite 4);Germany
Government;Van Allen Probe A (RBSP-A, Radiation Belt Storm Probes);USA
Government;Van Allen Probe B (RBSP-B, Radiation Belt Storm Probes);USA
Civil;VDNH-80;Russia
Civil;Velox 1;Singapore
Civil;Velox 2;Singapore
Civil;Velox C1;Singapore
Government;Venµs;France/Israel
Civil;Venta-1;Latvia
Commercial;ViaSat-1;USA
Commercial;ViaSat-2;USA
Government;Vinasat 1;Vietnam
Government;Vinasat 2;Vietnam
Government;VNREDSat 1A  (Vietnam Natural Resources Environment and Disaster monitoring small Satellite);Vietnam
Government;VRSS-1 (Venezuelan Remote Sensing Satellite, Francisco Miranda);Venezuela
Government;VRSS-2 (Antonio Jose de Sucre);Venezuela
Government;VZLUSat-1 (QB50 CZ02);Czech Republic
Government;Weina-1A;China
Military;Wideband Global Satcom 1 (WGS-1, USA 195);USA
Military;Wideband Global Satcom 10 (WGS-10, USA 291);USA
Military;Wideband Global Satcom 2 (WGS-2, USA 204);USA
Military;Wideband Global Satcom 3 (WGS-3, USA 211);USA
Military;Wideband Global Satcom 4 (WGS-4, USA 233);USA
Military;Wideband Global Satcom 5 (WGS-5, USA 243);USA
Military;Wideband Global Satcom 6 (WGS-6, USA 244);USA
Military;Wideband Global Satcom 7 (WGS-7, USA 263);USA
Military;Wideband Global Satcom 8 (WGS-8, USA 272);USA
Military;Wideband Global Satcom 9 (WGS-9, USA 275);USA
Commercial;WildBlue 1;USA
Commercial;WNISat-1 (Weather News Inc. Satellite 1);Japan
Commercial;WNISat-1R (Weather News Inc. Satellite 1R);Japan
Commercial;Worldview 1;USA
Commercial;Worldview 2;USA
Commercial;Worldview 3;USA
Commercial;Xiaoxiang 1-04 ;China
Commercial;Xiaoxiang 1-07 ;China
Commercial;Xingshidai 5;China
Government;Xinyan 1 (XY-1);China
Government;XJS-A (New Technology Test Satellite-A);China
Government;XJS-B (New Technology Test Satellite-B);China
Government;XJS-C (New Technology Test Satellite-C);China
Government;XJS-D (New Technology Test Satellite-D);China
Government;XJS-E (New Technology Test Satellite-E);China
Government;XJS-F (New Technology Test Satellite-F);China
Commercial;XM Radio 3 (Rhythm);USA
Commercial;XM Radio 4 (Blues);USA
Government;XMM Newton (High Throughput X-ray Spectroscopy Mission);ESA
Government;XPNav-1;China
Government;X-Sat;Singapore
Military/Government;XTAR-EUR;Spain
Civil;XW-1 (Hope Oscar 68, HO-68, Xi Wang 1, Hope-1, CAS-1);China
Civil;XW-2A (CAS-3A);China
Civil;XW-2B (CAS-3B);China
Civil;XW-2C (CAS-3C);China
Civil;XW-2D (CAS-3D);China
Civil;XW-2F (CAS-3F);China
Government;XY-S1 (Xingyun Shiyan-1);China
Military/Commercial;Yahsat-1A (Y1A);United Arab Emirates
Military/Commercial;Yahsat-1B (Y1B);United Arab Emirates
Commercial;Yamal-202 ;Russia
Commercial;Yamal-300K;Russia
Commercial;Yamal-401;Russia
Commercial;Yamal-402;Russia
Commercial;Yamal-601;Russia
Military;Yaogan 10 (Remote Sensing Satellite 10);China
Military;Yaogan 11 (Remote Sensing Satellite 11);China
Military;Yaogan 12 (Remote Sensing Satellite 12);China
Military;Yaogan 13 (Remote Sensing Satellite 13);China
Military;Yaogan 14 (Remote Sensing Satellite 14);China
Military;Yaogan 15 (Remote Sensing Satellite 15);China
Military;Yaogan 16A (Remote Sensing Satellite 16A, Yaogan Weixing 16);China
Military;Yaogan 16B (Remote Sensing Satellite 16B);China
Military;Yaogan 16C (Remote Sensing Satlelite 16C);China
Military;Yaogan 17A (Remote Sensing Satellite 17A, Yaogan Weixing 17);China
Military;Yaogan 17B (Remote Sensing Satellite 17B);China
Military;Yaogan 17C (Remote Sensing Satellite 17C);China
Military;Yaogan 18 (Remote Sensing Satellite 18);China
Military;Yaogan 19 (Remote Sensing Satellite 19);China
Military;Yaogan 20A (Remote Sensing Satellite 20A);China
Military ;Yaogan 20B (Remote Sensing Satellite 20B);China
Military;Yaogan 20C (Remote Sensing Satellite 20C);China
Military;Yaogan 21 (Remote Sensing Satellite 21);China
Military;Yaogan 22 (Remote Sensing Satellite 22);China
Military;Yaogan 23 (Remote Sensing Satellite 23);China
Military;Yaogan 24 (Remote Sensing Satellite 24);China
Military;Yaogan 25A (Remote Sensing Satellite 25A);China
Military;Yaogan 25B (Remote Sensing Satellite 25B);China
Military;Yaogan 25C (Remote Sensing Satellite 25C);China
Military;Yaogan 26 (Remote Sensing Satellite 26);China
Military;Yaogan 27 (Remote Sensing Satellite 27);China
Military;Yaogan 28 (Remote Sensing Satellite 28);China
Military;Yaogan 29 (Remote Sensing Satellite 29);China
Military;Yaogan 30 (Remote Sensing Satellite 30);China
Military;Yaogan 30-1-1 (Remote Sensing Satellite 30-1-1);China
Military;Yaogan 30-1-2 (Remote Sensing Satellite 30-1-2);China
Military;Yaogan 30-1-3 (Remote Sensing Satellite 30-1-3);China
Military;Yaogan 30-16;China
Military;Yaogan 30-17;China
Military;Yaogan 30-2-1 (Remote Sensing Satellite 30-2-1);China
Military;Yaogan 30-2-2 (Remote Sensing Satellite 30-2-2);China
Military;Yaogan 30-2-3 (Remote Sensing Satellite 30-2-3);China
Military;Yaogan 30-3-1 (Remote Sensing  Satellite 30-3-1);China
Military;Yaogan 30-3-2 (Remote Sensing Satellite 30-3-2);China
Military;Yaogan 30-3-3 (Remote Sensing Satellite 30-3-3);China
Military;Yaogan 30-4-1 (Remote Sensing Satellite 30-4-1);China
Military;Yaogan 30-4-2 (Remote Sensing Satellite 30-4-2);China
Military;Yaogan 30-4-3 (Remote Sensing Satellite 30-4-3);China
Military;Yaogan 30-5-1 (Remote Sensnig Satellite 30-5-1);China
Military;Yaogan 30-5-2 (Remote Sensing Satellite 30-5-2);China
Military;Yaogan 30-5-3 (Remote Sensing Satellite 30-5-3);China
Military;Yaogan 31-1-1 (Remote Sensing Satellite  31-1-1);China
Military;Yaogan 31-1-2 (Remote Sensing Satellite  31-1-2);China
Military;Yaogan 31-1-3 (Remote Sensing Satellite 31-1-3);China
Military;Yaogan 32-1-1 (Remote Sensing Satellite 32-1-1);China
Government;Yaogan 4 (Remote Sensing Satellite 4);China
Government;Yaogan 6 (Remote Sensing Satellite 6, Jian Bing 7-A);China
Government;Yaogan 7 (Remote Sensing Satellite 7);China
Government;Yaogan 8 (Remote Sensing Satellite 8);China
Government;Yaogan 9A (Remote Sensing Satellite 9A);China
Government;Yaogan 9B (Remote Sensing Satellite 9B);China
Government;Yaogan 9C (Remote Sensing Satellite 9C);China
Military;Yaogan-30-18;China
Military;Yaogan-32-1-2 (Remote Sensing Satellite 32-1-2);China
Commercial;Yinhe 1 (Galaxy 1, GS-SparkSat-03) ;China
Government;Youthsat;India
Civil;Yubileiny (Jubilejnyj, Radio Sputnik 30 (RS-30));Russia
Government;Yunhai-1;China
Government;Yunhai-1 2;China
Government;Yunhai-2 01;China
Government;Yunhai-2 02;China
Government;Yunhai-2 03;China
Government;Yunhai-2 04;China
Government;Yunhai-2 05;China
Government;Yunhai-2 06;China
Civil;ZA-Aerosat (QB50 - AZ01);South Africa
Civil;ZACUBE-1 (TshepisoSAT);South Africa
Civil;ZACUBE-2;South Africa
Military;Zhangguo Ziyuan 2C (ZY-2C, JB-3C);China
Government;Zhangheng 1 (CSES, China Seismo-Electromagnetic Satellite);China/Italy
Civil;Zheda Pixing 1B (ZP-1B, Zhejiang University-1B);China
Civil;Zheda Pixing 1C (ZP-1C, Zhejiang University-1B;China
Civil;Zheda Pixing 2A (ZP-2A, ZDP-2A);China
Civil;Zheda Pixing 2B (ZP-2B, ZDP-2B);China
Government;Zhongxing 10 (XZ-10, Chinasat 10);China
Commercial;Zhongxing 11 (ChinaSat 11);China
Government;Zhongxing 12 (Chinasat 12, SupremeSat-1, Apstar 7B, ZX-12);China
Military;Zhongxing 1A (Chinasat 1A, Fenghuo 2);China
Commercial;Zhongxing 1C (ChinaSat 1C);China
Military;Zhongxing 20A ;China
Military/Government;Zhongxing 2A (Chinasat 2A);China
Government/Commercial;Zhongxing 2C (ChinaSat 2C);China
Government/Commercial;Zhongxing 2D (Chinasat 2D);China
Government/Commercial;Zhongxing 6B (ChinaSat 6B);China
Government/Commercial;Zhongxing 6C (ChinaSat 6C);China
Government;Zhongxing 9 (Chinasat 9, Chinastar 9);China
Government/Commercial;Zhongxing 9A (ChinaSat 9A);China
Commercial;Zhuhai 1-04 (OHS-1);China
Commercial;Zhuhai 1-05 (OHS-2);China
Commercial;Zhuhai 1-06 (OHS-3);China
Commercial;Zhuhai 1-07 (OHS-4);China
Commercial;Zhuhai-1 (OHS 5);China
Commercial;Zhuhai-1 (OHS 6);China
Commercial;Zhuhai-1 (OHS 7);China
Commercial;Zhuhai-1 (OHS 8);China
Commercial;Zhuhai-1-01 (OVS-1A);China
Commercial;Zhuhai-1-02 (OVS-1B);China
Commercial;Zhuhai-1-03 (OVS-2A);China
Commercial;Zhuhai-1-03 (OVS-3);China
Government;Ziyuan 1-02C;China
Government;Ziyuan 1-2D;China
Government;Ziyuan 3 (ZY-3);China
Government;Ziyuan 3-2;China
