Users;Name of Satellite, Alternate Names;Country of Operator/Owner
Commercial;Dove 2k-37 (0 Flock 2K-37 1050);USA
Commercial;Dove 2k-38 (0 Flock 2K-38 1051);USA
Commercial;Dove 2k-39 (0 Flock 2K-39 1052);USA
Commercial;Dove 2k-4 (0 Flock 2K-4 0F24);USA
Commercial;Dove 2k-40 (0 Flock 2K-40 1053);USA
Commercial;Dove 2k-41 (0 Flock 2K-41 1054);USA
Commercial;Dove 2k-43 (0 Flock 2K-43 1056);USA
Commercial;Dove 2k-44 (0 Flock 2K-44 1020);USA
Commercial;Dove 2k-45  (0 Flock 2K-45  100D);USA
Commercial;Dove 2k-46 (0 Flock 2K-46 103F);USA
Commercial;Dove 2k-47 (0 Flock 2K-47 1043);USA
Commercial;Dove 2k-48 (0 Flock 2K-48 101C);USA
Commercial;Dove 2k-5 (0  Flock 2K-5 0F29);USA
Commercial;Dove 2k-6 (0 Flock 2K-6 0F2A);USA
Commercial;Dove 2k-7 (0 Flock 2K-7 0F2B);USA
Commercial;Dove 2k-8 (0 Flock 2K-8 0F2D);USA
Commercial;Dove 2k-9 (0 Flock 2K-9 0F2E);USA
Commercial;Dove 2p-1 ( (0 Flock 2P-1 0E0D);USA
Commercial;Dove 2p-10 (0 Flock 2P-10 0E2F);USA
Commercial;Dove 2p-11 (0 Flock 2P-11 0E30);USA
Commercial;Dove 2p-12 (0 Flock 2P-12 0E3A);USA
Commercial;Dove 2p-2 (0 Flock 2P-2 (0e0E);USA
Commercial;Dove 2p-3 (0 Flock 2P-3 (0E0F);USA
Commercial;Dove 2p-4 (0 Flock 2P-4 0E14);USA
Commercial;Dove 2p-5 (0 Flock 2P-5 0E16);USA
Commercial;Dove 2p-6 (0 Flock 2P-6 0E19);USA
Commercial;Dove 2p-7 (0 Flock 2P-7 0E1F);USA
Commercial;Dove 2p-8 (0 Flock 2P-8 0E20);USA
Commercial;Dove 2p-9 (0 Flock 2P-9 0E26);USA
Commercial;Dove 3 (0177);USA
Commercial;Dove 3k-1 (0 Flock 3K-1 1062);USA
Commercial;Dove 3k-10 (0 Flock 3K-10 106d);USA
Commercial;Dove 3k-11 (0 Flock 3K-11 106e);USA
Commercial;Dove 3k-12 (0 Flock 3K-12 106f);USA
Commercial;Dove 3k-2 (0 Flock 3K-2 106c);USA
Commercial;Dove 3k-3 (0 Flock 3K-3 1068);USA
Commercial;Dove 3k-4 (0 Flock 3K-4 1063);USA
Commercial;Dove 3k-5 (0 Flock 3K-5 1067);USA
Commercial;Dove 3k-6 (0 Flock 3K-6 1069);USA
Commercial;Dove 3k-7 (0 Flock 3K-7 106a);USA
Commercial;Dove 3k-8 (0 Flock 3K-8 106b);USA
Commercial;Dove 3k-9 (0 Flock 3K-9 1065);USA
Commercial;Dove 3m-1 (0 Flock 3M-1 0F06);USA
Commercial;Dove 3m-2 (0 Flock 3M-2 0F02);USA
Commercial;Dove 3m-3 (0 Flock 3M-3 0F13);USA
Commercial;Dove 3m-4 (0 Flock 3M-4 0F4C);USA
Commercial;Dove 3p-1 (0 Flock 3P-1 1000);USA
Commercial;Dove 3p'-1 (0 Flock 3p'1 1100);USA
Commercial;Dove 3p-10 (0 Flock 3P-10 1022);USA
Commercial;Dove 3p-11 (0 Flock 3P-11 101F);USA
Commercial;Dove 3p-12 (0 Flock 3P-12 1010);USA
Commercial;Dove 3p-13 (0 Flock 3P-13 1016);USA
Commercial;Dove 3p-14 (0 Flock 3P-14 1018);USA
Commercial;Dove 3p-15 (0 Flock 3P-15 101D);USA
Commercial;Dove 3p-16 (0 Flock 3P-16 100E);USA
Commercial;Dove 3p-17 (0 Flock 3P-17 1023);USA
Commercial;Dove 3p-18 (0 Flock 3P-18  102B);USA
Commercial;Dove 3p-19 (0 Flock 3P-19 1024);USA
Commercial;Dove 3p-2 (0 Flock 3P-2 1001);USA
Commercial;Dove 3p'-2 (0 Flock 3p'2 1102);USA
Commercial;Dove 3p-20 (0 Flock 3P-20 1029);USA
Commercial;Dove 3p-21 (0 Flock 3P-21 102A);USA
Commercial;Dove 3p-22 (0 Flock 3P-22 1028);USA
Commercial;Dove 3p-23 (0 Flock 3P-23 1025);USA
Commercial;Dove 3p-24 (0 Flock 3P-24 1026);USA
Commercial;Dove 3p-25 (0 Flock 3P-25 102F);USA
Commercial;Dove 3p-26 (0 Flock 3P-26 102D);USA
Commercial;Dove 3p-27 (0 Flock 3P-27 1030);USA
Commercial;Dove 3p-28 (0 Flock 3P-28 102C);USA
Commercial;Dove 3p-29 (0 Flock 3P-29 1033);USA
Commercial;Dove 3p'-3  (0 Flock 3p'3 1105);USA
Commercial;Dove 3p-3 (0 Flock 3P-3 1002);USA
Commercial;Dove 3p-30 (0 Flock 3P-30 102E);USA
Commercial;Dove 3p-31 (0 Flock 3P-31 1032);USA
Commercial;Dove 3p-32 (0 Flock 3P-32 1035);USA
Commercial;Dove 3p-33 (0 Flock 3P-33 103C);USA
Commercial;Dove 3p-34 (0 Flock 3P-34 103B);USA
Commercial;Dove 3p-35 (0 Flock 3P-35 103D);USA
Commercial;Dove 3p-36 (0 Flock 3P-36 103A);USA
Commercial;Dove 3p-37 (0 Flock 3P-37 1037);USA
Commercial;Dove 3p-38 (0 Flock 3P-38 1036);USA
Commercial;Dove 3p-39 (0 Flock 3P-39 103E;USA
Commercial;Dove 3p-4 (0 Flock 3P-4 1003);USA
Commercial;Dove 3p'-4 (0 Flock 3p'4 1107);USA
Commercial;Dove 3p-40 (0 Flock 3P-40 1039);USA
Commercial;Dove 3p-41 (0 Flock 3P-41 1031);USA
Commercial;Dove 3p-42 (0 Flock 3P-42 101E);USA
Commercial;Dove 3p-43 (0 Flock 3P-43 1041);USA
Commercial;Dove 3p-44 (0 Flock 3P-44 1019);USA
Commercial;Dove 3p-45 (0 Flock 3P-45 101A);USA
Commercial;Dove 3p-46 (0 Flock 3P-46 1011);USA
Commercial;Dove 3p-47 (0 Flock 3P-47 1027);USA
Commercial;Dove 3p-48 (0 Flock 3P-48 1042);USA
Commercial;Dove 3p-49 (0 Flock 3P-49 1038);USA
Commercial;Dove 3p-5 (0 Flock 3P-5 0F18);USA
Commercial;Dove 3p-50 (0 Flock 3P-50 1034);USA
Commercial;Dove 3p-51 (0 Flock 3P-51 1006);USA
Commercial;Dove 3p-52 (0 Flock 3P-52 1044);USA
